"gene_id","length"
"transcript_0_0",133
"transcript_0_1",218
"transcript_0_2",115
"transcript_1_0",148
"transcript_2_0",217
"transcript_2_1",106
"transcript_2_2",114
"transcript_3_0",222
"transcript_3_1",208
"transcript_4_0",220
"transcript_4_1",115
"transcript_5_0",294
"transcript_5_1",135
"transcript_6_0",209
"transcript_7_0",172
"transcript_7_1",170
"transcript_8_0",140
"transcript_8_1",298
"transcript_9_0",136
"transcript_10_0",280
"transcript_10_1",265
"transcript_10_2",154
"transcript_11_0",268
"transcript_11_1",294
"transcript_12_0",290
"transcript_13_0",141
"transcript_13_1",295
"transcript_14_0",158
"transcript_14_1",278
"transcript_15_0",155
"transcript_15_1",177
"transcript_16_0",300
"transcript_16_1",262
"transcript_16_2",126
"transcript_17_0",301
"transcript_18_0",285
"transcript_18_1",132
"transcript_18_2",227
"transcript_19_0",218
"transcript_19_1",157
"transcript_20_0",273
"transcript_20_1",264
"transcript_20_2",7
"transcript_21_0",247
"transcript_21_1",229
"transcript_22_0",286
"transcript_22_1",243
"transcript_23_0",220
"transcript_23_1",155
"transcript_24_0",150
"transcript_25_0",103
"transcript_25_1",252
"transcript_25_2",159
"transcript_26_0",279
"transcript_26_1",135
"transcript_27_0",284
"transcript_27_1",236
"transcript_28_0",170
"transcript_28_1",249
"transcript_28_2",140
"transcript_29_0",206
"transcript_29_1",145
"transcript_29_2",154
"transcript_30_0",227
"transcript_30_1",130
"transcript_30_2",174
"transcript_31_0",286
"transcript_32_0",223
"transcript_33_0",215
"transcript_33_1",144
"transcript_34_0",118
"transcript_34_1",285
"transcript_34_2",186
"transcript_35_0",181
"transcript_36_0",199
"transcript_36_1",235
"transcript_37_0",297
"transcript_37_1",179
"transcript_38_0",182
"transcript_38_1",199
"transcript_39_0",270
"transcript_40_0",204
"transcript_40_1",147
"transcript_41_0",204
"transcript_41_1",240
"transcript_42_0",112
"transcript_43_0",231
"transcript_44_0",180
"transcript_45_0",174
"transcript_46_0",161
"transcript_46_1",182
"transcript_47_0",267
"transcript_48_0",181
"transcript_48_1",133
"transcript_48_2",289
"transcript_49_0",276
